AGEP,COW,MAR,SCHL,SEX,WKHP,WKWN,ESR,OCCP,PERNP,OCCP_GROUP,COW_GROUP,HIGH_EARNER
30,1.0,1,16.0,1,35.0,47.0,1.0,6260.0,40000.0,Construction_Extraction_Farming,Private_ForProfit,0
57,5.0,1,19.0,1,40.0,52.0,1.0,5360.0,129000.0,Sales_Office_Admin,Federal_Gov,1
49,1.0,1,20.0,2,40.0,52.0,1.0,4810.0,60000.0,Sales_Office_Admin,Private_ForProfit,0
33,6.0,2,21.0,2,40.0,52.0,1.0,8920.0,13000.0,Production_Manufacturing,Self_Employed_NotInc,0
68,1.0,1,19.0,2,40.0,52.0,1.0,9645.0,24000.0,Transportation_Material_Moving,Private_ForProfit,0
57,1.0,5,1.0,2,35.0,52.0,1.0,4230.0,33000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
28,3.0,1,20.0,1,56.0,52.0,1.0,3740.0,75000.0,Protective_Service,Local_Gov,0
34,1.0,5,18.0,1,50.0,52.0,1.0,4700.0,45000.0,Sales_Office_Admin,Private_ForProfit,0
23,1.0,5,18.0,1,60.0,52.0,1.0,5610.0,31200.0,Sales_Office_Admin,Private_ForProfit,0
47,1.0,1,22.0,1,40.0,52.0,1.0,710.0,90000.0,Management_Business_Finance,Private_ForProfit,1
36,1.0,5,20.0,1,40.0,52.0,1.0,1108.0,70000.0,STEM_Science_Architecture,Private_ForProfit,0
28,1.0,1,24.0,1,40.0,52.0,1.0,2100.0,70000.0,Education_Legal_Social,Private_ForProfit,0
52,1.0,4,17.0,1,35.0,28.0,1.0,6515.0,49000.0,Construction_Extraction_Farming,Private_ForProfit,0
54,1.0,3,18.0,2,80.0,52.0,1.0,5400.0,17200.0,Sales_Office_Admin,Private_ForProfit,0
33,1.0,1,21.0,2,42.0,52.0,1.0,3255.0,95000.0,Healthcare,Private_ForProfit,1
31,1.0,5,21.0,2,40.0,52.0,1.0,4850.0,95000.0,Sales_Office_Admin,Private_ForProfit,1
62,1.0,2,20.0,2,40.0,52.0,1.0,9130.0,20000.0,Transportation_Material_Moving,Private_ForProfit,0
54,1.0,1,19.0,2,40.0,52.0,1.0,5120.0,8900.0,Sales_Office_Admin,Private_ForProfit,0
44,1.0,1,22.0,2,40.0,52.0,1.0,2360.0,45000.0,Education_Legal_Social,Private_ForProfit,0
36,6.0,1,19.0,1,50.0,52.0,1.0,6442.0,70000.0,Construction_Extraction_Farming,Self_Employed_NotInc,0
52,1.0,1,23.0,1,60.0,52.0,1.0,3090.0,215000.0,Healthcare,Private_ForProfit,1
48,1.0,1,17.0,1,45.0,52.0,1.0,1555.0,55000.0,STEM_Science_Architecture,Private_ForProfit,0
60,1.0,1,20.0,2,40.0,52.0,1.0,5740.0,40000.0,Sales_Office_Admin,Private_ForProfit,0
27,3.0,1,21.0,2,40.0,42.0,1.0,2545.0,25000.0,Education_Legal_Social,Local_Gov,0
55,1.0,1,21.0,1,40.0,52.0,1.0,3255.0,120000.0,Healthcare,Private_ForProfit,1
58,1.0,1,19.0,1,35.0,52.0,1.0,7800.0,18000.0,Production_Manufacturing,Private_ForProfit,0
64,2.0,1,16.0,2,45.0,45.0,1.0,4600.0,19200.0,Service_Food_Personal_Cleaning,Private_NonProfit,0
48,5.0,1,22.0,1,40.0,52.0,1.0,3255.0,140000.0,Healthcare,Federal_Gov,1
33,1.0,5,22.0,1,40.0,52.0,1.0,3258.0,100000.0,Healthcare,Private_ForProfit,1
52,1.0,1,19.0,2,40.0,52.0,1.0,5240.0,67000.0,Sales_Office_Admin,Private_ForProfit,0
35,1.0,1,22.0,1,50.0,52.0,1.0,3160.0,140000.0,Healthcare,Private_ForProfit,1
53,5.0,1,19.0,1,65.0,52.0,1.0,6660.0,100000.0,Construction_Extraction_Farming,Federal_Gov,1
66,1.0,3,19.0,1,40.0,52.0,1.0,9130.0,42000.0,Transportation_Material_Moving,Private_ForProfit,0
43,1.0,5,16.0,2,40.0,52.0,1.0,9645.0,30000.0,Transportation_Material_Moving,Private_ForProfit,0
29,1.0,5,18.0,1,45.0,52.0,1.0,7700.0,5600.0,Production_Manufacturing,Private_ForProfit,0
47,1.0,5,16.0,2,40.0,52.0,1.0,3323.0,42000.0,Healthcare,Private_ForProfit,0
53,1.0,1,13.0,2,45.0,52.0,1.0,4110.0,28000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
65,1.0,3,16.0,2,45.0,52.0,1.0,630.0,177000.0,Management_Business_Finance,Private_ForProfit,1
49,4.0,1,21.0,2,40.0,52.0,1.0,5740.0,44500.0,Sales_Office_Admin,State_Gov,0
50,1.0,1,19.0,1,40.0,48.0,1.0,530.0,45000.0,Management_Business_Finance,Private_ForProfit,0
50,1.0,1,11.0,2,40.0,52.0,1.0,4230.0,25000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
21,1.0,5,16.0,2,40.0,26.0,1.0,9645.0,16500.0,Transportation_Material_Moving,Private_ForProfit,0
23,2.0,1,21.0,1,40.0,52.0,1.0,4110.0,5000.0,Service_Food_Personal_Cleaning,Private_NonProfit,0
46,2.0,5,24.0,2,40.0,52.0,1.0,230.0,5000.0,Management_Business_Finance,Private_NonProfit,0
56,1.0,1,21.0,2,45.0,52.0,1.0,10.0,230000.0,Management_Business_Finance,Private_ForProfit,1
36,1.0,1,21.0,2,40.0,52.0,1.0,120.0,50000.0,Management_Business_Finance,Private_ForProfit,0
50,1.0,2,9.0,2,40.0,52.0,1.0,8950.0,25000.0,Production_Manufacturing,Private_ForProfit,0
28,1.0,1,23.0,1,40.0,52.0,1.0,1530.0,67000.0,STEM_Science_Architecture,Private_ForProfit,0
57,1.0,1,20.0,1,60.0,52.0,1.0,6200.0,150000.0,Construction_Extraction_Farming,Private_ForProfit,1
39,1.0,1,21.0,1,40.0,52.0,1.0,1021.0,305000.0,STEM_Science_Architecture,Private_ForProfit,1
34,1.0,1,21.0,1,40.0,52.0,1.0,710.0,50000.0,Management_Business_Finance,Private_ForProfit,0
33,1.0,5,21.0,1,45.0,52.0,1.0,52.0,175000.0,Management_Business_Finance,Private_ForProfit,1
31,1.0,1,19.0,2,40.0,52.0,1.0,2016.0,28800.0,Education_Legal_Social,Private_ForProfit,0
43,6.0,1,10.0,1,40.0,52.0,1.0,4251.0,12500.0,Service_Food_Personal_Cleaning,Self_Employed_NotInc,0
30,2.0,5,20.0,1,40.0,52.0,1.0,4700.0,45000.0,Sales_Office_Admin,Private_NonProfit,0
39,3.0,1,21.0,2,60.0,52.0,1.0,2310.0,66000.0,Education_Legal_Social,Local_Gov,0
46,1.0,1,21.0,1,40.0,52.0,1.0,1005.0,171000.0,STEM_Science_Architecture,Private_ForProfit,1
31,1.0,5,17.0,1,40.0,52.0,1.0,8620.0,47500.0,Production_Manufacturing,Private_ForProfit,0
54,1.0,3,18.0,2,40.0,52.0,1.0,3910.0,55000.0,Protective_Service,Private_ForProfit,0
54,7.0,1,22.0,1,50.0,52.0,1.0,310.0,140000.0,Management_Business_Finance,Self_Employed_Inc,1
51,6.0,1,18.0,1,40.0,30.0,1.0,440.0,5000.0,Management_Business_Finance,Self_Employed_NotInc,0
71,4.0,1,19.0,1,40.0,52.0,1.0,2320.0,21200.0,Education_Legal_Social,State_Gov,0
61,1.0,1,18.0,1,40.0,52.0,1.0,2640.0,80000.0,Arts_Media_Design,Private_ForProfit,0
55,1.0,1,16.0,1,43.0,52.0,1.0,440.0,48000.0,Management_Business_Finance,Private_ForProfit,0
33,1.0,1,17.0,2,40.0,52.0,1.0,5240.0,7200.0,Sales_Office_Admin,Private_ForProfit,0
47,1.0,1,21.0,2,42.0,52.0,1.0,5740.0,75000.0,Sales_Office_Admin,Private_ForProfit,0
55,1.0,1,19.0,2,40.0,52.0,1.0,5510.0,20000.0,Sales_Office_Admin,Private_ForProfit,0
53,6.0,3,16.0,2,40.0,52.0,1.0,9130.0,1000.0,Transportation_Material_Moving,Self_Employed_NotInc,0
55,1.0,3,21.0,1,40.0,52.0,1.0,7120.0,38000.0,Installation_Maintenance_Repair,Private_ForProfit,0
39,1.0,5,22.0,2,40.0,52.0,1.0,540.0,45000.0,Management_Business_Finance,Private_ForProfit,0
46,1.0,1,16.0,1,40.0,52.0,1.0,6442.0,100000.0,Construction_Extraction_Farming,Private_ForProfit,1
63,3.0,5,21.0,1,40.0,52.0,1.0,440.0,162000.0,Management_Business_Finance,Local_Gov,1
28,1.0,1,16.0,1,80.0,52.0,1.0,6200.0,220000.0,Construction_Extraction_Farming,Private_ForProfit,1
44,2.0,1,22.0,1,45.0,52.0,1.0,726.0,119000.0,Management_Business_Finance,Private_NonProfit,1
